0,1,2,3,4,5,6,7,8
-73.0,-82.0,-81.0,-17.0,-50.0,-59.0,1.0,1.57,1.0
-73.0,-76.0,-82.0,-18.0,-50.0,-61.0,1.0,1.57,1.0
-72.0,-80.0,-81.0,-19.0,-48.0,-60.0,1.0,1.57,1.0
-74.0,-79.0,-81.0,-18.0,-50.0,-60.0,1.0,1.57,1.0
-74.0,-79.0,-80.0,-18.0,-51.0,-60.0,1.0,1.57,1.0
-69.0,-85.0,-82.0,-39.0,-47.0,-56.0,2.2,1.57,1.0
-69.0,-83.0,-81.0,-45.0,-42.0,-57.0,2.2,1.57,1.0
-67.0,-83.0,-82.0,-39.0,-46.0,-56.0,2.2,1.57,1.0
-68.0,-80.0,-80.0,-39.0,-40.0,-56.0,2.2,1.57,1.0
-66.0,-80.0,-81.0,-38.0,-40.0,-55.0,2.2,1.57,1.0
-73.0,-69.0,-71.0,-48.0,-45.0,-59.0,3.4,1.57,1.0
-73.0,-69.0,-71.0,-49.0,-40.0,-59.0,3.4,1.57,1.0
-73.0,-70.0,-68.0,-51.0,-39.0,-56.0,3.4,1.57,1.0
-72.0,-68.0,-70.0,-50.0,-41.0,-59.0,3.4,1.57,1.0
-72.0,-72.0,-70.0,-49.0,-40.0,-59.0,3.4,1.57,1.0
-73.0,-84.0,-81.0,-57.0,-36.0,-59.0,4.6,1.57,1.0
-69.0,-83.0,-83.0,-57.0,-39.0,-60.0,4.6,1.57,1.0
-71.0,-80.0,-84.0,-56.0,-37.0,-61.0,4.6,1.57,1.0
-73.0,-81.0,-80.0,-58.0,-36.0,-59.0,4.6,1.57,1.0
-72.0,-82.0,-82.0,-56.0,-39.0,-61.0,4.6,1.57,1.0
-69.0,-76.0,-77.0,-50.0,-15.0,-51.0,5.8,1.57,1.0
-68.0,-76.0,-76.0,-51.0,-15.0,-50.0,5.8,1.57,1.0
-67.0,-76.0,-77.0,-50.0,-16.0,-50.0,5.8,1.57,1.0
-67.0,-76.0,-76.0,-50.0,-15.0,-52.0,5.8,1.57,1.0
-69.0,-77.0,-79.0,-50.0,-15.0,-51.0,5.8,1.57,1.0
-69.0,-76.0,-77.0,-50.0,-15.0,-51.0,1.0,3.47,1.0
-68.0,-76.0,-76.0,-51.0,-15.0,-50.0,1.0,3.47,1.0
-67.0,-76.0,-77.0,-50.0,-16.0,-50.0,1.0,3.47,1.0
-67.0,-76.0,-76.0,-50.0,-15.0,-52.0,1.0,3.47,1.0
-69.0,-77.0,-79.0,-50.0,-15.0,-51.0,1.0,3.47,1.0
-68.0,-83.0,-69.0,-36.0,-47.0,-57.0,2.2,3.47,1.0
-69.0,-83.0,-70.0,-37.0,-46.0,-57.0,2.2,3.47,1.0
-73.0,-85.0,-71.0,-45.0,-50.0,-59.0,2.2,3.47,1.0
-74.0,-86.0,-71.0,-39.0,-43.0,-59.0,2.2,3.47,1.0
-73.0,-85.0,-74.0,-39.0,-50.0,-59.0,2.2,3.47,1.0
-71.0,-76.0,-73.0,-53.0,-63.0,-57.0,3.4,3.47,1.0
-70.0,-76.0,-73.0,-52.0,-60.0,-57.0,3.4,3.47,1.0
-72.0,-75.0,-75.0,-54.0,-59.0,-56.0,3.4,3.47,1.0
-70.0,-76.0,-76.0,-53.0,-55.0,-53.0,3.4,3.47,1.0
-70.0,-75.0,-73.0,-53.0,-60.0,-59.0,3.4,3.47,1.0
-72.0,-77.0,-71.0,-51.0,-51.0,-70.0,4.6,3.47,1.0
-76.0,-73.0,-72.0,-52.0,-45.0,-69.0,4.6,3.47,1.0
-73.0,-77.0,-72.0,-46.0,-50.0,-68.0,4.6,3.47,1.0
-69.0,-77.0,-71.0,-69.0,-48.0,-67.0,4.6,3.47,1.0
-72.0,-78.0,-72.0,-51.0,-49.0,-69.0,4.6,3.47,1.0
-72.0,-70.0,-69.0,-66.0,-46.0,-63.0,5.8,3.47,1.0
-72.0,-71.0,-70.0,-65.0,-40.0,-64.0,5.8,3.47,1.0
-69.0,-71.0,-69.0,-66.0,-39.0,-63.0,5.8,3.47,1.0
-71.0,-70.0,-69.0,-66.0,-40.0,-60.0,5.8,3.47,1.0
-71.0,-70.0,-68.0,-67.0,-46.0,-59.0,5.8,3.47,1.0
-79.0,-74.0,-72.0,-49.0,-55.0,-54.0,1.0,5.37,1.0
-79.0,-75.0,-75.0,-49.0,-54.0,-53.0,1.0,5.37,1.0
-79.0,-73.0,-73.0,-47.0,-62.0,-55.0,1.0,5.37,1.0
-78.0,-75.0,-76.0,-49.0,-57.0,-54.0,1.0,5.37,1.0
-77.0,-72.0,-73.0,-49.0,-57.0,-53.0,1.0,5.37,1.0
-81.0,-71.0,-70.0,-52.0,-52.0,-62.0,2.2,5.37,1.0
-84.0,-71.0,-70.0,-54.0,-52.0,-62.0,2.2,5.37,1.0
-85.0,-73.0,-71.0,-55.0,-53.0,-63.0,2.2,5.37,1.0
-85.0,-72.0,-70.0,-53.0,-53.0,-63.0,2.2,5.37,1.0
-87.0,-71.0,-71.0,-51.0,-52.0,-70.0,2.2,5.37,1.0
-75.0,-73.0,-71.0,-53.0,-47.0,-39.0,3.4,5.37,1.0
-75.0,-74.0,-72.0,-52.0,-45.0,-45.0,3.4,5.37,1.0
-75.0,-73.0,-71.0,-51.0,-47.0,-39.0,3.4,5.37,1.0
-75.0,-75.0,-71.0,-52.0,-47.0,-37.0,3.4,5.37,1.0
-74.0,-73.0,-73.0,-51.0,-45.0,-39.0,3.4,5.37,1.0
-71.0,-67.0,-67.0,-51.0,-51.0,-52.0,4.6,5.37,1.0
-71.0,-66.0,-66.0,-52.0,-41.0,-52.0,4.6,5.37,1.0
-72.0,-66.0,-66.0,-51.0,-41.0,-53.0,4.6,5.37,1.0
-71.0,-65.0,-63.0,-51.0,-40.0,-52.0,4.6,5.37,1.0
-72.0,-68.0,-66.0,-50.0,-43.0,-52.0,4.6,5.37,1.0
-70.0,-66.0,-79.0,-53.0,-51.0,-40.0,5.8,5.37,1.0
-72.0,-66.0,-79.0,-51.0,-51.0,-43.0,5.8,5.37,1.0
-70.0,-65.0,-78.0,-54.0,-49.0,-47.0,5.8,5.37,1.0
-74.0,-64.0,-80.0,-53.0,-51.0,-47.0,5.8,5.37,1.0
-73.0,-65.0,-81.0,-53.0,-51.0,-40.0,5.8,5.37,1.0
-72.0,-77.0,-67.0,-55.0,-58.0,-43.0,1.0,7.27,1.0
-73.0,-76.0,-69.0,-56.0,-57.0,-49.0,1.0,7.27,1.0
-73.0,-80.0,-67.0,-55.0,-58.0,-49.0,1.0,7.27,1.0
-73.0,-79.0,-68.0,-56.0,-59.0,-48.0,1.0,7.27,1.0
-72.0,-79.0,-66.0,-59.0,-61.0,-49.0,1.0,7.27,1.0
-77.0,-72.0,-75.0,-51.0,-49.0,-53.0,2.2,7.27,1.0
-75.0,-68.0,-94.0,-41.0,-45.0,-50.0,2.2,7.27,1.0
-74.0,-68.0,-73.0,-52.0,-49.0,-49.0,2.2,7.27,1.0
-75.0,-69.0,-74.0,-51.0,-52.0,-50.0,2.2,7.27,1.0
-76.0,-69.0,-74.0,-47.0,-46.0,-54.0,2.2,7.27,1.0
-79.0,-68.0,-77.0,-55.0,-52.0,-26.0,3.4,7.27,1.0
-78.0,-68.0,-77.0,-54.0,-55.0,-27.0,3.4,7.27,1.0
-78.0,-71.0,-76.0,-57.0,-55.0,-26.0,3.4,7.27,1.0
-78.0,-69.0,-78.0,-57.0,-58.0,-27.0,3.4,7.27,1.0
-75.0,-67.0,-75.0,-49.0,-54.0,-24.0,3.4,7.27,1.0
-72.0,-71.0,-75.0,-52.0,-51.0,-33.0,4.6,7.27,1.0
-73.0,-72.0,-74.0,-54.0,-48.0,-32.0,4.6,7.27,1.0
