0,1,2,3,4,5,6,7,8
-33.0,-59.0,-64.0,-72.0,-71.0,-79.0,3.2,1.0,2.0
-32.0,-60.0,-61.0,-75.0,-71.0,-81.0,3.2,1.0,2.0
-34.0,-60.0,-63.0,-73.0,-73.0,-79.0,3.2,1.0,2.0
-32.0,-59.0,-63.0,-73.0,-72.0,-79.0,3.2,1.0,2.0
-33.0,-60.0,-65.0,-72.0,-73.0,-79.0,3.2,1.0,2.0
-34.0,-59.0,-64.0,-76.0,-72.0,-79.0,3.2,1.0,2.0
-32.0,-57.0,-62.0,-70.0,-69.0,-74.0,3.2,1.0,2.0
-33.0,-58.0,-59.0,-73.0,-71.0,-79.0,3.2,1.0,2.0
-33.0,-60.0,-74.0,-72.0,-72.0,-79.0,3.2,1.0,2.0
-34.0,-60.0,-65.0,-72.0,-71.0,-79.0,3.2,1.0,2.0
-34.0,-60.0,-61.0,-73.0,-69.0,-80.0,3.2,1.0,2.0
-33.0,-72.0,-60.0,-72.0,-71.0,-76.0,3.2,1.0,2.0
-35.0,-60.0,-60.0,-71.0,-72.0,-77.0,3.2,1.0,2.0
-33.0,-58.0,-61.0,-75.0,-69.0,-78.0,3.2,1.0,2.0
-30.0,-57.0,-65.0,-68.0,-68.0,-75.0,3.2,1.0,2.0
-37.0,-62.0,-70.0,-73.0,-74.0,-75.0,4.3,1.0,2.0
-36.0,-60.0,-69.0,-73.0,-74.0,-76.0,4.3,1.0,2.0
-34.0,-59.0,-70.0,-75.0,-76.0,-76.0,4.3,1.0,2.0
-37.0,-60.0,-70.0,-75.0,-74.0,-76.0,4.3,1.0,2.0
-37.0,-59.0,-70.0,-73.0,-73.0,-75.0,4.3,1.0,2.0
-39.0,-62.0,-70.0,-74.0,-72.0,-75.0,4.3,1.0,2.0
-37.0,-64.0,-74.0,-75.0,-76.0,-77.0,4.3,1.0,2.0
-37.0,-61.0,-71.0,-72.0,-75.0,-74.0,4.3,1.0,2.0
-37.0,-63.0,-69.0,-74.0,-74.0,-76.0,4.3,1.0,2.0
-39.0,-62.0,-69.0,-73.0,-74.0,-75.0,4.3,1.0,2.0
-36.0,-62.0,-69.0,-73.0,-74.0,-76.0,4.3,1.0,2.0
-36.0,-61.0,-70.0,-75.0,-75.0,-76.0,4.3,1.0,2.0
-36.0,-60.0,-68.0,-75.0,-73.0,-77.0,4.3,1.0,2.0
-36.0,-61.0,-67.0,-73.0,-73.0,-75.0,4.3,1.0,2.0
-36.0,-62.0,-69.0,-73.0,-73.0,-77.0,4.3,1.0,2.0
-36.0,-62.0,-70.0,-72.0,-74.0,-75.0,4.3,1.0,2.0
-36.0,-62.0,-66.0,-73.0,-71.0,-76.0,4.3,1.0,2.0
-35.0,-60.0,-68.0,-71.0,-73.0,-74.0,4.3,1.0,2.0
-35.0,-58.0,-71.0,-71.0,-72.0,-74.0,4.3,1.0,2.0
-35.0,-60.0,-69.0,-72.0,-72.0,-74.0,4.3,1.0,2.0
-35.0,-61.0,-68.0,-73.0,-72.0,-74.0,4.3,1.0,2.0
-37.0,-64.0,-71.0,-75.0,-74.0,-77.0,4.3,1.0,2.0
-37.0,-62.0,-70.0,-72.0,-75.0,-77.0,4.3,1.0,2.0
-37.0,-63.0,-71.0,-74.0,-75.0,-77.0,4.3,1.0,2.0
-37.0,-63.0,-72.0,-74.0,-75.0,-76.0,4.3,1.0,2.0
-38.0,-60.0,-71.0,-73.0,-74.0,-76.0,4.3,1.0,2.0
-37.0,-63.0,-71.0,-72.0,-74.0,-75.0,4.3,1.0,2.0
-37.0,-61.0,-71.0,-74.0,-74.0,-76.0,4.3,1.0,2.0
-36.0,-62.0,-70.0,-74.0,-74.0,-75.0,4.3,1.0,2.0
-37.0,-60.0,-71.0,-74.0,-74.0,-76.0,4.3,1.0,2.0
-37.0,-62.0,-68.0,-74.0,-74.0,-76.0,4.3,1.0,2.0
-41.0,-62.0,-57.0,-73.0,-73.0,-76.0,5.4,1.0,2.0
-41.0,-65.0,-60.0,-73.0,-74.0,-74.0,5.4,1.0,2.0
-47.0,-63.0,-56.0,-74.0,-74.0,-74.0,5.4,1.0,2.0
-48.0,-63.0,-59.0,-76.0,-75.0,-74.0,5.4,1.0,2.0
-42.0,-62.0,-60.0,-74.0,-74.0,-75.0,5.4,1.0,2.0
-47.0,-63.0,-60.0,-75.0,-74.0,-75.0,5.4,1.0,2.0
-42.0,-62.0,-61.0,-74.0,-74.0,-74.0,5.4,1.0,2.0
-48.0,-63.0,-58.0,-73.0,-72.0,-76.0,5.4,1.0,2.0
-41.0,-62.0,-58.0,-71.0,-75.0,-74.0,5.4,1.0,2.0
-47.0,-60.0,-56.0,-75.0,-75.0,-73.0,5.4,1.0,2.0
-42.0,-63.0,-60.0,-74.0,-75.0,-75.0,5.4,1.0,2.0
-48.0,-63.0,-60.0,-75.0,-72.0,-75.0,5.4,1.0,2.0
-43.0,-64.0,-60.0,-76.0,-74.0,-74.0,5.4,1.0,2.0
-40.0,-61.0,-58.0,-70.0,-74.0,-73.0,5.4,1.0,2.0
-47.0,-63.0,-59.0,-76.0,-73.0,-74.0,5.4,1.0,2.0
-40.0,-62.0,-55.0,-72.0,-75.0,-73.0,5.4,1.0,2.0
-36.0,-63.0,-59.0,-73.0,-72.0,-75.0,5.4,1.0,2.0
-40.0,-64.0,-59.0,-73.0,-71.0,-75.0,5.4,1.0,2.0
-41.0,-61.0,-59.0,-74.0,-69.0,-71.0,5.4,1.0,2.0
-50.0,-65.0,-59.0,-74.0,-75.0,-75.0,5.4,1.0,2.0
-40.0,-60.0,-59.0,-74.0,-71.0,-73.0,5.4,1.0,2.0
-40.0,-59.0,-62.0,-74.0,-75.0,-75.0,5.4,1.0,2.0
-41.0,-62.0,-61.0,-75.0,-74.0,-74.0,5.4,1.0,2.0
-41.0,-64.0,-60.0,-74.0,-74.0,-76.0,5.4,1.0,2.0
-38.0,-64.0,-57.0,-75.0,-73.0,-76.0,5.4,1.0,2.0
-47.0,-62.0,-61.0,-73.0,-74.0,-73.0,5.4,1.0,2.0
-40.0,-63.0,-56.0,-73.0,-71.0,-75.0,5.4,1.0,2.0
-40.0,-61.0,-59.0,-72.0,-69.0,-73.0,5.4,1.0,2.0
-46.0,-62.0,-58.0,-71.0,-71.0,-73.0,5.4,1.0,2.0
-62.0,-62.0,-57.0,-73.0,-71.0,-73.0,5.4,1.0,2.0
-42.0,-65.0,-61.0,-75.0,-74.0,-76.0,5.4,1.0,2.0
-39.0,-63.0,-59.0,-76.0,-73.0,-75.0,5.4,1.0,2.0
-41.0,-60.0,-61.0,-74.0,-73.0,-74.0,5.4,1.0,2.0
-41.0,-62.0,-57.0,-73.0,-73.0,-76.0,6.5,1.0,2.0
-41.0,-65.0,-60.0,-73.0,-74.0,-74.0,6.5,1.0,2.0
-47.0,-63.0,-56.0,-74.0,-74.0,-74.0,6.5,1.0,2.0
-48.0,-63.0,-59.0,-76.0,-75.0,-74.0,6.5,1.0,2.0
-42.0,-62.0,-60.0,-74.0,-74.0,-75.0,6.5,1.0,2.0
-47.0,-63.0,-60.0,-75.0,-74.0,-75.0,6.5,1.0,2.0
-42.0,-62.0,-61.0,-74.0,-74.0,-74.0,6.5,1.0,2.0
-48.0,-63.0,-58.0,-73.0,-72.0,-76.0,6.5,1.0,2.0
-41.0,-62.0,-58.0,-71.0,-75.0,-74.0,6.5,1.0,2.0
-47.0,-60.0,-56.0,-75.0,-75.0,-73.0,6.5,1.0,2.0
-42.0,-63.0,-60.0,-74.0,-75.0,-75.0,6.5,1.0,2.0
-48.0,-63.0,-60.0,-75.0,-72.0,-75.0,6.5,1.0,2.0
-43.0,-64.0,-60.0,-76.0,-74.0,-74.0,6.5,1.0,2.0
-40.0,-61.0,-58.0,-70.0,-74.0,-73.0,6.5,1.0,2.0
-47.0,-63.0,-59.0,-76.0,-73.0,-74.0,6.5,1.0,2.0
-40.0,-62.0,-55.0,-72.0,-75.0,-73.0,6.5,1.0,2.0
-36.0,-63.0,-59.0,-73.0,-72.0,-75.0,6.5,1.0,2.0
-40.0,-64.0,-59.0,-73.0,-71.0,-75.0,6.5,1.0,2.0
-41.0,-61.0,-59.0,-74.0,-69.0,-71.0,6.5,1.0,2.0
-50.0,-65.0,-59.0,-74.0,-75.0,-75.0,6.5,1.0,2.0
-40.0,-60.0,-59.0,-74.0,-71.0,-73.0,6.5,1.0,2.0
-40.0,-59.0,-62.0,-74.0,-75.0,-75.0,6.5,1.0,2.0
-41.0,-62.0,-61.0,-75.0,-74.0,-74.0,6.5,1.0,2.0
-41.0,-64.0,-60.0,-74.0,-74.0,-76.0,6.5,1.0,2.0
-38.0,-64.0,-57.0,-75.0,-73.0,-76.0,6.5,1.0,2.0
-47.0,-62.0,-61.0,-73.0,-74.0,-73.0,6.5,1.0,2.0
-40.0,-63.0,-56.0,-73.0,-71.0,-75.0,6.5,1.0,2.0
-40.0,-61.0,-59.0,-72.0,-69.0,-73.0,6.5,1.0,2.0
-46.0,-62.0,-58.0,-71.0,-71.0,-73.0,6.5,1.0,2.0
-62.0,-62.0,-57.0,-73.0,-71.0,-73.0,6.5,1.0,2.0
-42.0,-65.0,-61.0,-75.0,-74.0,-76.0,6.5,1.0,2.0
-39.0,-63.0,-59.0,-76.0,-73.0,-75.0,6.5,1.0,2.0
-41.0,-60.0,-61.0,-74.0,-73.0,-74.0,6.5,1.0,2.0
-50.0,-52.0,-55.0,-75.0,-70.0,-73.0,1.0,2.45,2.0
-52.0,-57.0,-59.0,-77.0,-69.0,-74.0,1.0,2.45,2.0
-55.0,-58.0,-61.0,-81.0,-73.0,-74.0,1.0,2.45,2.0
-54.0,-55.0,-59.0,-76.0,-70.0,-73.0,1.0,2.45,2.0
-53.0,-56.0,-58.0,-77.0,-70.0,-72.0,1.0,2.45,2.0
-51.0,-58.0,-61.0,-77.0,-70.0,-73.0,1.0,2.45,2.0
-49.0,-56.0,-58.0,-78.0,-69.0,-73.0,1.0,2.45,2.0
-54.0,-56.0,-59.0,-78.0,-70.0,-74.0,1.0,2.45,2.0
-54.0,-58.0,-57.0,-79.0,-67.0,-73.0,1.0,2.45,2.0
-52.0,-56.0,-59.0,-78.0,-71.0,-73.0,1.0,2.45,2.0
-52.0,-56.0,-58.0,-79.0,-71.0,-73.0,1.0,2.45,2.0
-56.0,-57.0,-59.0,-79.0,-68.0,-74.0,1.0,2.45,2.0
-54.0,-56.0,-59.0,-79.0,-71.0,-74.0,1.0,2.45,2.0
-53.0,-56.0,-58.0,-77.0,-71.0,-75.0,1.0,2.45,2.0
-54.0,-60.0,-58.0,-79.0,-70.0,-75.0,1.0,2.45,2.0
-55.0,-56.0,-59.0,-78.0,-71.0,-74.0,1.0,2.45,2.0
-52.0,-53.0,-57.0,-75.0,-69.0,-71.0,1.0,2.45,2.0
-55.0,-58.0,-58.0,-82.0,-70.0,-76.0,1.0,2.45,2.0
-53.0,-54.0,-58.0,-78.0,-68.0,-74.0,1.0,2.45,2.0
-55.0,-57.0,-58.0,-79.0,-71.0,-75.0,1.0,2.45,2.0
-55.0,-57.0,-57.0,-80.0,-71.0,-73.0,1.0,2.45,2.0
-56.0,-57.0,-60.0,-79.0,-71.0,-76.0,1.0,2.45,2.0
-53.0,-55.0,-57.0,-77.0,-71.0,-73.0,1.0,2.45,2.0
-54.0,-57.0,-58.0,-78.0,-70.0,-75.0,1.0,2.45,2.0
-55.0,-56.0,-57.0,-78.0,-66.0,-73.0,1.0,2.45,2.0
-53.0,-73.0,-59.0,-78.0,-71.0,-73.0,1.0,2.45,2.0
