0,1,2,3,4,5,6,7,8
-75.0,-79.0,-81.0,-18.0,-53.0,-60.0,1.0,1.57,1.0
-73.0,-81.0,-80.0,-18.0,-52.0,-60.0,1.0,1.57,1.0
-74.0,-79.0,-77.0,-15.0,-49.0,-59.0,1.0,1.57,1.0
-73.0,-77.0,-80.0,-15.0,-50.0,-61.0,1.0,1.57,1.0
-72.0,-80.0,-81.0,-15.0,-49.0,-60.0,1.0,1.57,1.0
-76.0,-77.0,-80.0,-20.0,-50.0,-59.0,1.0,1.57,1.0
-74.0,-78.0,-81.0,-16.0,-50.0,-59.0,1.0,1.57,1.0
-73.0,-79.0,-80.0,-18.0,-44.0,-59.0,1.0,1.57,1.0
-73.0,-79.0,-80.0,-16.0,-50.0,-59.0,1.0,1.57,1.0
-73.0,-78.0,-79.0,-16.0,-50.0,-56.0,1.0,1.57,1.0
-73.0,-79.0,-80.0,-15.0,-50.0,-60.0,1.0,1.57,1.0
-74.0,-78.0,-78.0,-15.0,-49.0,-59.0,1.0,1.57,1.0
-75.0,-78.0,-81.0,-15.0,-49.0,-59.0,1.0,1.57,1.0
-74.0,-78.0,-79.0,-18.0,-51.0,-59.0,1.0,1.57,1.0
-78.0,-81.0,-79.0,-15.0,-49.0,-60.0,1.0,1.57,1.0
-75.0,-79.0,-79.0,-17.0,-50.0,-59.0,1.0,1.57,1.0
-76.0,-78.0,-78.0,-17.0,-49.0,-59.0,1.0,1.57,1.0
-75.0,-76.0,-79.0,-17.0,-50.0,-58.0,1.0,1.57,1.0
-74.0,-79.0,-77.0,-16.0,-45.0,-59.0,1.0,1.57,1.0
-72.0,-79.0,-80.0,-15.0,-50.0,-59.0,1.0,1.57,1.0
-77.0,-78.0,-81.0,-17.0,-50.0,-60.0,1.0,1.57,1.0
-73.0,-79.0,-80.0,-16.0,-53.0,-60.0,1.0,1.57,1.0
-76.0,-79.0,-80.0,-19.0,-46.0,-60.0,1.0,1.57,1.0
-75.0,-80.0,-81.0,-17.0,-46.0,-59.0,1.0,1.57,1.0
-75.0,-79.0,-81.0,-17.0,-51.0,-60.0,1.0,1.57,1.0
-73.0,-79.0,-79.0,-16.0,-49.0,-60.0,1.0,1.57,1.0
-75.0,-80.0,-79.0,-16.0,-44.0,-60.0,1.0,1.57,1.0
-74.0,-79.0,-80.0,-17.0,-51.0,-59.0,1.0,1.57,1.0
-74.0,-78.0,-80.0,-17.0,-50.0,-59.0,1.0,1.57,1.0
